,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
26,Joseph DeRuvo Jr. has lived a mostly barefooted life for nearly two decades. The experience has given him a thick skin.,2023-03-01T08:00:10+0000,article,Metro,New York,News,"['FEET', 'CONTENT TYPE: PERSONAL PROFILE', 'INTERNAL-SUB-ONLY', 'AUDIO-NEUTRAL-IMMERSIVE']"
27,"More than 1,000 Turkish residents displaced by the recent earthquakes are staying on a luxury boat in the Mediterranean Sea.",2023-03-01T08:00:15+0000,article,Foreign,World,News,"['TURKEY EARTHQUAKE (FEB 6, 2023)', 'REFUGEES AND DISPLACED PERSONS', 'SHIPS AND SHIPPING', 'CRUISES', 'MEDITERRANEAN SEA', 'TURKEY', 'VIS-PHOTO']"
28,"Emily’s not in Paris this season, that’s for sure.",2023-03-01T09:43:10+0000,article,Styles,Style,News,"['PARIS FASHION WEEK', 'FASHION AND APPAREL', 'PARIS (FRANCE)', 'CHRISTIAN DIOR SA', 'YVES SAINT LAURENT', 'CHIURI, MARIA GRAZIA', 'VACCARELLO, ANTHONY', 'YOUR-FEED-FASHION']"
29,It can be difficult to predict which way the judges ruled in prominent copyright cases involving artists.,2023-03-01T10:00:02+0000,multimedia,Arts,Arts,Interactive Feature,"['DECISIONS AND VERDICTS', 'CONTENT TYPE: QUIZ', 'COPYRIGHTS AND COPYRIGHT VIOLATIONS', 'ART', 'DR SEUSS ENTERPRISES', 'ASSOCIATED PRESS', 'MATTEL INC', 'FAIREY, SHEPARD', 'KOONS, JEFF', 'UNITED FEATURE SYNDICATE', 'FORSYTHE, TOM', 'COMICMIX']"
30,A selection of recently published books.,2023-03-01T10:00:04+0000,article,BookReview,Books,News,['BOOKS AND LITERATURE']
31,"Answering questions on topics including polling, independent voters and Black turnout.",2023-03-01T10:00:10+0000,article,Upshot,The Upshot,News,"['POLLS AND PUBLIC OPINION', 'MIDTERM ELECTIONS (2022)', 'UNITED STATES POLITICS AND GOVERNMENT', 'INTERNAL-SUB-ONLY-NL', 'ELECTIONS', 'BLACK PEOPLE', 'BLACKS', 'TRUMP, DONALD J']"
32,Tech and finance workers posted countless videos about the luxuries of their jobs — until the mood shifted.,2023-03-01T10:00:11+0000,article,Magazine,Magazine,News,"['LAYOFFS AND JOB REDUCTIONS', 'WORKPLACE ENVIRONMENT', 'VIDEO RECORDINGS, DOWNLOADS AND STREAMING', 'EMPLOYEE FRINGE BENEFITS', 'TIKTOK (BYTEDANCE)', 'SOCIAL MEDIA', 'COMPUTERS AND THE INTERNET']"
33,"Fliers on some airlines can upgrade at a discounted rate to avoid what could be a cramped flight. With some cruise ships and even Amtrak getting in on the act, is bidding up worth it?",2023-03-01T10:00:11+0000,article,Travel,Travel,News,"['AIRLINES AND AIRPLANES', 'BUDGET TRAVEL', 'CRUISES', 'CONTENT TYPE: SERVICE', 'AUCTIONS']"
34,A portrait of Prince based on a photographer’s work is being debated by the Supreme Court. What does that mean for institutions and their collections?,2023-03-01T10:00:13+0000,article,Arts&Leisure,Arts,News,"['ART', 'MUSEUMS', 'COPYRIGHTS AND COPYRIGHT VIOLATIONS', 'PHOTOGRAPHY', 'WARHOL, ANDY, FOUNDATION FOR THE VISUAL ARTS', 'CONDE NAST PUBLICATIONS INC', 'GOLDSMITH, LYNN (1948- )', 'WARHOL, ANDY']"
35,The chord progressions in Ed Sheeran’s “Thinking Out Loud” and Marvin Gaye’s “Let’s Get It On” are part of a debate about just how much of a piece of music can be protected by law.,2023-03-01T10:00:15+0000,article,Arts&Leisure,Arts,News,"['POP AND ROCK MUSIC', 'COPYRIGHTS AND COPYRIGHT VIOLATIONS', 'SUITS AND LITIGATION (CIVIL)', 'THINKING OUT LOUD (SONG)', 'SHEERAN, ED', ""LET'S GET IT ON (SONG)"", 'GAYE, MARVIN', 'LED ZEPPELIN']"
36,Companies like Marvel and Panini have been accused of stealing illustrations from lesser-known creators who say fighting back often proves futile.,2023-03-01T10:00:15+0000,article,Arts&Leisure,Arts,News,"['ART', 'COPYRIGHTS AND COPYRIGHT VIOLATIONS', 'DISNEY PLUS', 'MARVEL STUDIOS', 'WIZARDS OF THE COAST INC']"
37,One magic ingredient will send your taste buds on vacation to the Amalfi Coast.,2023-03-01T10:00:17+0000,article,Magazine,Magazine,News,"['SAUCES', 'ANCHOVIES', 'PASTA', 'COOKING AND COOKBOOKS', 'MILAN (ITALY)', 'AMALFI (ITALY)', 'ROMAN CIVILIZATION']"
38,Starbucks recently announced that they’re mixing this Mediterranean staple into their coffee drinks. Nutrition experts weigh in on what we know about the health benefits of olive oil.,2023-03-01T10:00:18+0000,article,Well,Well,News,"['OILS AND FATS', 'DIET AND NUTRITION', 'CONTENT TYPE: SERVICE', 'CHOLESTEROL', 'OLIVE OIL', 'HEART']"
39,"We asked Samara Joy, Hanif Abdurraqib, Vijay Iyer and others to share their favorite tracks showcasing what might be the most nuanced instrument in jazz.",2023-03-01T10:00:18+0000,article,Culture,Arts,News,"['JAZZ', 'PIANOS']"
40,Michael Lesy’s book of historical photographs and found text offers a singular portrait of American life.,2023-03-01T10:00:19+0000,article,BookReview,Books,Review,"['BOOKS AND LITERATURE', 'PHOTOGRAPHY', 'RURAL AREAS', 'DEATHS (FATALITIES)', 'WISCONSIN DEATH TRIP (BOOK)', 'LESY, MICHAEL', 'BLACK RIVER FALLS (WIS)', 'UNITED STATES', 'AUDIO-NEUTRAL-INFORMATIVE']"
